#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
1926,Jalen Bridges,WVU,28,18.2,2.1,4.2,0.496,1.0,2.4,0.409,0.7,1.0,0.7140000000000001,0.5,1.6,1.8,1.9,3.6,0.3,0.5,0.4,5.9,2021
1927,Matthew Herasme,MAR,18,26.6,1.8,4.9,0.371,1.0,3.7,0.273,1.2,1.9,0.629,1.1,2.8,0.6,3.7,4.3,1.0,0.7,0.3,5.9,2021
1928,Jordan Gilliam,TSU,26,25.9,2.0,5.8,0.338,0.7,2.5,0.258,1.3,1.8,0.723,1.7,2.1,0.5,2.7,3.2,2.7,0.9,0.4,5.9,2021
1929,Silas Adheke,ETSU,25,26.0,2.4,4.5,0.522,0.0,0.0,0.0,1.2,2.0,0.58,1.6,2.7,2.2,3.8,6.0,1.1,0.9,0.9,5.9,2021
1930,Vonnie Patterson,ETSU,25,22.5,2.1,4.1,0.51,0.5,1.4,0.353,1.2,2.1,0.596,1.1,2.3,1.4,1.9,3.4,1.4,0.8,0.2,5.9,2021
1931,Hassan Drame,SPC,25,20.6,2.2,5.4,0.418,0.3,1.1,0.259,1.1,1.6,0.718,1.9,2.9,2.1,3.6,5.7,0.7,1.0,0.4,5.9,2021
1932,Yahuza Rasas,TSU,25,18.9,2.4,5.8,0.41,0.2,0.8,0.316,0.9,1.4,0.639,1.5,1.3,1.6,3.3,4.9,0.4,0.5,0.2,5.9,2021
1933,Jimmy Clark III,VCU,16,16.1,2.2,4.5,0.5,0.4,1.6,0.24,1.0,1.2,0.8420000000000001,1.6,2.2,0.2,1.2,1.4,1.8,1.8,0.2,5.9,2021
1934,Ryan Larson,WC,21,26.4,1.9,4.5,0.426,1.2,2.6,0.455,0.9,1.3,0.643,1.6,1.9,0.3,4.3,4.6,3.2,1.1,0.1,5.9,2021
1935,Isaiah Lewis,CSU,7,24.0,2.0,6.7,0.298,1.0,3.7,0.269,0.9,0.9,1.0,0.9,2.3,0.0,1.6,1.6,2.1,0.3,0.0,5.9,2021
1936,Devin Gilmore,MSU,26,16.8,2.4,3.4,0.708,0.0,0.0,0.0,1.0,1.5,0.684,0.8,1.7,1.3,3.1,4.4,0.7,0.6,0.4,5.8,2021
1937,Javaunte Hawkins,FIU,26,16.9,2.0,5.7,0.361,1.7,5.0,0.341,0.1,0.1,1.0,0.8,1.0,0.1,0.9,1.0,1.2,0.5,0.0,5.8,2021
1938,Jordan O'Neal,ASU,13,25.1,1.8,4.4,0.421,0.0,0.2,0.0,2.2,3.8,0.5710000000000001,1.8,2.7,1.9,2.8,4.8,0.7,0.5,1.8,5.8,2021
1939,Noel Coleman,UH,19,19.7,2.1,5.3,0.386,0.9,2.4,0.391,0.8,1.1,0.75,1.2,1.5,0.4,1.0,1.4,1.1,0.5,0.1,5.8,2021
1940,Hassan Diarra,TAMU,18,19.7,2.0,5.7,0.35,0.8,2.6,0.304,1.1,1.7,0.633,2.1,1.8,0.4,1.7,2.1,1.7,1.1,0.1,5.8,2021
1941,Sion James,TU,23,26.0,1.9,4.4,0.431,0.3,1.1,0.28,1.7,2.6,0.65,1.7,2.2,0.5,3.0,3.5,1.9,1.2,0.2,5.8,2021
