#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
447,Kyle Foster,HU,4,27.0,4.5,11.5,0.391,2.5,7.5,0.333,1.8,2.5,0.7,2.5,2.0,0.0,1.2,1.2,1.2,0.8,0.8,13.2,2021
448,Ross Cummings,MER,29,32.5,4.6,10.1,0.459,2.5,6.2,0.403,1.5,1.9,0.768,1.6,2.0,0.4,3.2,3.7,2.6,0.7,0.2,13.2,2021
449,Justin Forrest,ASU,26,28.7,4.3,11.7,0.366,1.8,5.8,0.32,2.8,3.7,0.779,2.5,2.2,0.4,3.0,3.4,2.6,1.5,0.1,13.2,2021
450,Malek Green,CAN,13,23.6,4.9,9.3,0.529,0.8,2.4,0.355,2.5,3.7,0.688,1.7,2.0,2.0,5.2,7.2,0.9,0.6,0.5,13.2,2021
451,Justin Roberts,GSU,22,30.8,4.8,10.9,0.438,1.6,4.7,0.35,2.0,2.8,0.738,2.0,1.2,0.5,3.1,3.7,4.7,1.6,0.1,13.2,2021
452,Tank Hemphill,DU,22,25.7,5.7,9.8,0.581,0.0,0.1,0.333,1.8,2.8,0.645,1.5,2.1,1.4,4.5,5.9,1.4,1.2,0.4,13.2,2021
453,Mike Ertel,UAB,29,28.7,5.0,12.3,0.406,1.2,4.3,0.27,2.0,2.5,0.8190000000000001,0.9,1.3,0.5,2.1,2.6,1.3,0.9,0.1,13.2,2021
454,Matt Coleman III,UT,27,34.3,4.7,9.6,0.485,1.6,4.2,0.377,2.3,2.8,0.813,2.6,2.2,0.7,2.8,3.5,4.0,1.2,0.1,13.2,2021
455,Jabari Rice,NMSU,18,30.2,4.6,9.7,0.469,1.8,5.2,0.355,2.2,2.7,0.816,2.3,2.2,1.2,4.1,5.3,2.2,0.7,0.4,13.2,2021
456,Arinze Chidom,UCR,20,26.0,5.4,11.5,0.47,1.1,2.9,0.386,1.2,2.2,0.556,2.2,3.0,1.6,3.7,5.3,1.4,1.1,0.8,13.2,2021
457,KeyShawn Feazell,MSU,21,29.5,5.2,9.3,0.561,0.0,0.4,0.125,2.6,3.4,0.764,2.8,3.1,2.8,7.1,9.9,2.2,0.7,1.2,13.1,2021
458,Landers Nolley II,UM,28,27.3,4.5,10.9,0.415,2.3,6.0,0.387,1.8,2.2,0.8029999999999999,2.2,2.0,0.9,3.2,4.1,1.8,1.1,0.2,13.1,2021
459,Cam Gooden,DSC,21,32.4,3.9,10.0,0.389,1.3,4.2,0.315,4.0,5.2,0.764,3.5,1.7,0.5,2.7,3.2,3.2,1.7,0.0,13.1,2021
460,"Stacy Beckton, Jr.",AU,8,32.5,4.4,10.0,0.438,1.8,3.9,0.452,2.6,3.4,0.778,2.9,3.0,0.8,3.2,4.0,1.1,1.2,0.6,13.1,2021
461,Kasen Harrison,LU,25,32.2,4.6,9.6,0.477,0.6,1.2,0.484,3.3,4.1,0.8059999999999999,2.9,2.5,0.9,1.9,2.8,4.0,1.5,0.0,13.1,2021
462,Trenton Massner,NSU,27,27.9,5.0,10.2,0.493,1.2,3.3,0.375,1.8,2.8,0.653,2.0,2.0,1.0,3.7,4.7,2.5,1.3,0.4,13.1,2021
463,Sidney Wilson,SIUE,18,27.2,4.9,11.1,0.442,1.1,3.4,0.32299999999999995,2.2,3.1,0.727,2.7,1.4,1.1,2.9,3.9,1.3,0.3,0.9,13.1,2021
464,Isaiah Livers,UM,23,31.6,4.4,9.7,0.457,2.2,5.0,0.431,2.0,2.3,0.87,1.1,1.6,1.1,4.9,6.0,2.0,0.6,0.7,13.1,2021
465,Brandon Horvath,UMBC,19,34.0,4.9,10.4,0.475,0.9,3.2,0.3,2.2,3.2,0.7,2.2,2.1,2.5,6.3,8.7,1.9,0.6,0.4,13.1,2021
466,Jordan Walker,TU,23,33.4,4.6,11.6,0.398,1.3,4.1,0.326,2.5,3.0,0.826,2.3,2.4,0.4,1.5,2.0,4.3,1.7,0.0,13.0,2021
467,Ayo Akinwole,UNO,25,30.8,4.5,9.0,0.498,1.6,3.6,0.456,2.4,2.8,0.871,1.7,2.0,0.5,3.1,3.6,2.9,0.9,0.0,13.0,2021
468,Mike Adewunmi,SIUE,26,28.7,4.5,9.4,0.478,1.3,3.8,0.354,2.7,3.7,0.737,2.4,3.0,0.8,5.3,6.1,1.0,0.7,0.4,13.0,2021
469,Adrian Delph,ASU,29,32.5,4.6,11.6,0.395,2.3,6.6,0.35100000000000003,1.6,1.9,0.818,1.8,1.7,0.6,3.8,4.4,1.2,1.2,0.5,13.0,2021
470,Dawson Garcia,MU,27,29.7,4.5,9.3,0.48,1.0,2.7,0.35600000000000004,3.1,3.9,0.7829999999999999,1.6,2.2,2.1,4.5,6.6,0.8,0.3,0.5,13.0,2021
471,D.J. Steward,DUKE,24,30.8,4.7,11.0,0.426,1.8,5.2,0.341,1.8,2.2,0.8109999999999999,2.0,1.2,1.2,2.8,4.0,2.4,1.1,0.6,13.0,2021
472,Trae Berhow,UNI,22,32.9,4.7,12.2,0.387,2.0,5.8,0.336,1.6,2.4,0.6729999999999999,1.9,2.5,0.8,4.1,4.9,3.0,1.0,0.3,13.0,2021
473,Juan Munoz,LONG,29,32.8,4.1,10.8,0.378,2.5,6.6,0.384,2.3,2.9,0.807,2.5,2.1,0.2,3.0,3.2,2.9,1.2,0.0,13.0,2021
474,Christiaan Jones,STET,27,28.4,4.5,9.8,0.458,1.0,3.0,0.35,3.0,3.5,0.8420000000000001,1.4,1.0,1.6,4.0,5.6,1.6,1.5,0.1,13.0,2021
475,D.J. Carton,MU,27,31.1,4.5,10.0,0.446,1.2,4.3,0.282,2.8,3.7,0.743,3.2,2.2,0.6,3.5,4.1,3.4,1.1,0.4,13.0,2021
476,Jay Huff,UVA,25,27.1,5.1,8.7,0.585,1.2,3.0,0.387,1.6,2.0,0.8370000000000001,1.3,2.6,1.7,5.4,7.1,1.0,0.5,2.6,13.0,2021
477,Everette Hammond,USCU,23,30.6,4.1,12.3,0.336,1.3,4.6,0.292,3.3,4.3,0.7859999999999999,2.1,2.1,0.6,2.6,3.1,2.3,1.1,0.1,13.0,2021
478,Matt Johnson,UNC,22,34.1,4.4,9.2,0.48,2.1,4.7,0.447,2.0,2.2,0.918,2.1,2.1,0.2,2.1,2.3,3.0,0.7,0.1,13.0,2021
479,Greg Lee,WMY,21,27.0,5.5,11.0,0.504,0.4,1.8,0.243,1.5,2.2,0.66,2.5,2.0,1.5,5.8,7.2,2.4,0.3,0.2,13.0,2021
480,Unique McLean,SFC,19,31.8,4.9,10.9,0.454,0.7,2.3,0.318,2.3,3.0,0.772,1.5,2.2,2.3,5.1,7.3,2.2,1.3,0.5,12.9,2021
481,Roti Ware,SFA,19,33.2,4.9,10.5,0.465,1.2,3.5,0.348,1.9,2.4,0.804,2.4,1.8,0.2,2.8,3.1,2.7,1.9,0.2,12.9,2021
482,Yeikson Montero,EMU,18,29.8,4.7,10.9,0.431,1.8,5.6,0.33,1.7,2.6,0.652,1.9,2.1,1.3,4.1,5.4,1.3,2.2,0.2,12.9,2021
483,Mylik Wilson,LA,26,33.8,5.1,11.6,0.439,0.5,2.0,0.245,2.3,3.1,0.728,2.2,2.5,1.2,4.3,5.5,3.2,2.0,1.0,12.9,2021
484,Jericole Hellems,NCST,25,31.4,4.8,10.5,0.454,1.2,3.3,0.378,2.2,2.8,0.7709999999999999,2.0,2.8,1.4,3.6,5.0,1.7,1.1,0.2,12.9,2021
485,Chuck Harris,BU,24,29.7,4.3,10.7,0.401,2.0,5.0,0.403,2.3,2.8,0.836,1.9,2.4,0.6,2.4,3.0,2.2,1.0,0.1,12.9,2021
486,Andrew Funk,BU,12,33.7,4.2,10.3,0.411,1.5,5.6,0.269,2.9,3.4,0.8540000000000001,2.1,1.0,0.2,4.0,4.2,1.5,0.8,0.1,12.9,2021
487,Dylan Penn,BU,22,32.0,5.7,11.2,0.512,0.4,1.4,0.267,1.1,1.6,0.667,2.7,1.5,1.3,2.5,3.8,3.6,0.9,0.4,12.9,2021
488,Daivien Williamson,WF,22,34.3,4.4,9.7,0.455,1.6,4.3,0.3720000000000001,2.5,3.2,0.7859999999999999,2.0,1.3,0.0,2.1,2.1,2.5,1.3,0.0,12.9,2021
489,Seth Millner,U of T,30,33.5,4.9,10.6,0.465,0.7,2.6,0.273,2.3,3.5,0.667,1.8,1.9,2.1,4.7,6.8,2.5,0.8,0.2,12.9,2021
490,Jahvon Quinerly,UA,30,25.0,4.7,9.9,0.478,1.7,4.0,0.433,1.7,2.5,0.6890000000000001,2.3,2.0,0.5,1.7,2.2,3.2,0.6,0.0,12.9,2021
491,Justin Moore,VILL,25,32.7,4.8,10.9,0.441,1.6,5.2,0.31,1.7,2.2,0.778,1.5,2.1,0.3,3.8,4.1,3.0,0.6,0.4,12.9,2021
492,De'Vion Harmon,OU,25,31.8,5.0,10.4,0.477,1.3,4.0,0.33,1.6,2.2,0.732,1.6,1.4,0.5,2.9,3.4,2.0,1.1,0.0,12.9,2021
493,Isaac Kante,HOF,23,31.8,4.9,8.7,0.562,0.0,0.0,0.0,3.0,4.3,0.7070000000000001,2.2,2.1,2.7,7.4,10.1,0.7,0.5,0.4,12.9,2021
494,Daniel Oladapo,OU,30,33.8,5.3,9.4,0.569,0.0,0.0,0.0,2.2,4.1,0.532,2.4,1.9,3.8,5.0,8.8,1.7,1.1,0.2,12.9,2021
495,"Terrence Shannon, Jr.",TTU,28,26.7,4.3,9.6,0.448,1.1,3.0,0.35700000000000004,3.2,4.2,0.7559999999999999,1.4,1.8,1.1,2.8,4.0,1.4,1.1,0.1,12.9,2021
496,Jalen Pickett,SC,14,36.0,4.6,11.4,0.403,2.0,5.6,0.359,1.7,2.3,0.75,2.4,1.4,1.1,5.2,6.3,4.8,0.9,1.1,12.9,2021
497,Ben Vander Plas,OU,25,33.8,4.6,10.6,0.4320000000000001,2.0,5.9,0.34700000000000003,1.7,2.2,0.764,2.3,2.4,0.8,5.0,5.8,3.8,1.4,0.6,12.8,2021
498,Toni Rocak,UCSD,17,19.5,4.8,9.3,0.519,0.4,1.7,0.241,2.8,4.4,0.635,2.1,2.5,1.8,3.5,5.3,1.2,1.2,0.5,12.8,2021
499,J.D. Notae,U of A,32,22.5,4.1,10.7,0.382,1.8,5.2,0.335,2.9,3.8,0.76,2.1,1.5,0.5,2.6,3.1,1.9,1.4,0.3,12.8,2021
500,Joseph Yesufu,DU,31,23.9,4.5,10.2,0.442,1.5,4.0,0.384,2.2,2.7,0.812,1.2,1.9,0.2,1.6,1.8,1.8,1.1,0.1,12.8,2021
501,James Butler,DREX,20,28.9,5.0,8.7,0.569,0.2,0.3,0.5710000000000001,2.7,3.6,0.75,1.4,2.0,2.5,6.7,9.2,1.8,0.2,0.9,12.8,2021
502,Garrett Hicks,AAMU,15,34.3,4.6,11.5,0.399,1.7,5.4,0.309,1.9,2.9,0.674,2.3,1.4,0.8,3.0,3.8,1.9,1.3,0.1,12.8,2021
503,Mekhi Lairy,MU,23,30.8,4.2,9.2,0.455,1.4,3.3,0.416,3.0,3.8,0.805,2.3,1.9,0.6,2.2,2.8,3.3,0.9,0.1,12.8,2021
504,Kane Williams,GSU,21,31.5,4.1,11.5,0.35700000000000004,1.2,3.9,0.317,3.3,5.0,0.6729999999999999,2.2,2.0,0.4,3.2,3.6,4.1,1.5,0.4,12.8,2021
505,Toumani Camara,UGA,25,28.4,4.8,9.9,0.486,0.6,2.3,0.263,2.6,4.1,0.621,2.4,3.0,2.4,5.4,7.7,1.6,1.2,1.1,12.8,2021
506,Tommy Kuhse,SMC,24,35.7,4.7,11.5,0.407,0.8,2.9,0.275,2.6,3.3,0.797,2.4,1.9,0.6,3.1,3.7,5.0,1.5,0.2,12.8,2021
507,Jarod Lucas,OSU,33,29.2,3.6,9.6,0.38,2.3,6.0,0.389,3.1,3.5,0.8959999999999999,0.8,1.2,0.3,1.9,2.3,1.2,0.7,0.0,12.7,2021
508,Grant Golden,RICH,21,27.5,5.4,9.6,0.562,0.4,0.9,0.5,1.5,2.3,0.667,2.4,1.9,1.1,4.9,6.0,3.5,0.6,0.5,12.7,2021
509,Hunter Schofield,DSC,21,25.1,5.0,10.2,0.484,0.5,1.8,0.289,2.3,3.2,0.706,1.6,3.7,1.8,4.1,5.9,1.1,0.6,0.4,12.7,2021
510,Nijel Pack,KSU,24,33.6,4.5,10.9,0.418,2.5,6.2,0.405,1.1,1.4,0.794,2.0,2.0,0.6,3.1,3.7,3.8,1.2,0.0,12.7,2021
511,Qudus Wahab,GU,26,27.8,4.9,8.3,0.591,0.0,0.0,0.0,2.9,4.3,0.6729999999999999,2.0,3.1,2.6,5.6,8.2,0.2,0.4,1.6,12.7,2021
512,Kamdyn Curfman,VMI,25,34.0,4.3,9.6,0.446,2.8,6.9,0.407,1.3,1.5,0.868,1.2,1.3,0.2,1.9,2.1,2.2,0.7,0.0,12.7,2021
513,Xavier Cork,WCU,27,27.3,5.3,8.3,0.6409999999999999,0.0,0.0,0.0,2.1,2.7,0.757,2.5,3.0,2.1,4.0,6.1,1.8,0.5,1.4,12.7,2021
514,Carl Pierre,UMass,15,33.7,4.1,11.4,0.363,2.5,7.4,0.333,1.9,2.7,0.7070000000000001,0.8,1.8,0.5,3.3,3.8,1.6,0.9,0.1,12.7,2021
515,Michael Almonacy,ASU,29,31.5,4.1,10.4,0.397,2.4,7.1,0.345,1.9,2.5,0.778,1.8,1.7,0.4,3.9,4.3,2.8,1.3,0.1,12.7,2021
516,"Chico Carter, Jr.",MSU,26,24.2,4.7,9.2,0.508,1.8,4.0,0.442,1.5,1.8,0.812,2.0,1.4,0.1,1.6,1.7,1.9,1.1,0.1,12.7,2021
517,Marcus Hammond,NU,20,34.5,4.2,12.3,0.336,1.8,6.0,0.292,2.6,3.4,0.765,1.8,1.9,0.5,5.3,5.8,3.0,1.1,0.0,12.7,2021
518,David Johnson,U of L,19,35.1,4.7,11.5,0.411,1.7,4.4,0.386,1.5,2.1,0.7,3.2,2.7,0.9,4.9,5.8,3.2,1.1,0.3,12.6,2021
519,Chris Smith,UCLA,8,28.1,4.0,9.1,0.438,1.2,2.5,0.5,3.4,4.2,0.794,2.5,2.4,1.6,4.8,6.4,2.0,0.9,0.5,12.6,2021
520,D.J. Funderburk,NCST,21,26.3,4.3,7.7,0.562,0.1,0.7,0.2,3.8,4.8,0.792,1.2,2.4,2.2,3.3,5.6,0.3,0.7,0.5,12.6,2021
521,Luke Smith,BEL,30,31.1,4.3,9.5,0.451,2.6,6.6,0.391,1.5,1.8,0.818,1.2,1.7,0.3,1.9,2.2,2.9,2.0,0.0,12.6,2021
522,Izaiah Brockington,PSU,25,29.7,4.7,10.9,0.43,0.5,1.7,0.279,2.8,3.3,0.841,1.7,2.0,1.1,3.8,4.9,1.7,1.0,0.2,12.6,2021
523,Josh Caldwell,USMA,22,29.5,4.9,9.6,0.507,0.6,1.8,0.35,2.2,3.5,0.636,2.0,2.0,1.6,3.0,4.5,1.5,1.9,0.2,12.6,2021
524,Tolu Smith,MSU,30,30.7,4.8,8.4,0.569,0.0,0.0,0.0,3.0,5.0,0.589,2.3,2.6,3.3,5.1,8.4,1.2,0.6,0.7,12.6,2021
525,Norchad Omier,ASU,23,26.7,5.1,9.5,0.539,0.0,0.1,0.0,2.3,3.3,0.688,1.8,3.1,4.0,8.3,12.3,0.8,1.2,1.4,12.6,2021
526,"John Petty, Jr.",UA,32,31.3,4.3,10.3,0.42,2.4,6.5,0.37,1.5,2.0,0.7340000000000001,1.9,2.2,0.9,4.2,5.2,1.9,1.3,0.6,12.6,2021
527,Nick Stampley,TU,27,30.2,4.6,10.3,0.441,1.3,4.1,0.304,2.2,3.2,0.6779999999999999,1.3,1.8,2.3,4.8,7.0,0.8,0.8,0.8,12.6,2021
528,Micah Potter,UW,31,22.2,4.5,9.0,0.504,1.3,3.3,0.386,2.2,2.6,0.84,1.4,2.0,1.8,4.1,5.9,1.4,0.5,0.7,12.5,2021
529,Jaiden Delaire,SU,24,27.3,4.6,9.9,0.468,0.6,1.8,0.326,2.7,3.6,0.7559999999999999,2.2,2.0,1.0,3.2,4.1,1.0,0.9,0.4,12.5,2021
530,Jaden Springer,UT,25,26.0,4.2,9.1,0.467,0.8,1.8,0.435,3.2,4.0,0.81,2.4,2.0,1.0,2.5,3.5,2.9,1.2,0.4,12.5,2021
531,De'Von Cooper,MSU,31,31.6,4.0,9.3,0.433,1.7,4.6,0.366,2.8,3.5,0.789,2.4,1.6,0.4,4.6,5.0,2.4,0.6,0.4,12.5,2021
532,Jayveous McKinnis,JSU,16,32.6,4.9,8.5,0.574,0.0,0.0,0.0,2.8,4.4,0.62,1.9,2.9,3.8,9.4,13.2,0.6,1.1,2.1,12.5,2021
533,Denzel Mahoney,CU,30,30.7,4.2,11.6,0.362,2.1,6.6,0.325,2.0,2.7,0.728,1.3,2.3,0.6,3.5,4.1,1.7,1.3,0.1,12.5,2021
534,Melik Martin,MU,20,25.9,4.7,9.6,0.484,1.1,2.9,0.397,2.0,2.9,0.7190000000000001,1.6,3.0,1.4,4.2,5.7,1.7,1.4,0.6,12.5,2021
535,Jack Ferguson,CU,16,21.1,3.9,7.8,0.504,2.4,4.6,0.514,2.2,2.5,0.9,0.8,0.9,0.8,3.8,4.6,1.0,0.5,0.3,12.5,2021
536,Antonio Rizzuto,ALB,16,29.4,4.2,10.1,0.42,2.4,6.6,0.362,1.6,2.2,0.722,1.4,2.8,0.3,1.3,1.6,0.7,0.8,0.2,12.5,2021
537,"Marcus Fitzgerald, Jr.",TSU,14,29.4,4.4,10.7,0.413,1.9,5.8,0.333,1.7,2.1,0.828,2.2,2.6,0.4,2.3,2.7,1.4,0.9,0.1,12.5,2021
538,Hunter Maldonado,UW,25,35.8,4.1,9.8,0.419,0.5,2.6,0.2,3.7,5.4,0.6940000000000001,2.6,3.0,1.7,5.1,6.8,4.6,1.2,0.4,12.5,2021
539,Michael Forrest,FAU,23,27.5,4.3,9.5,0.454,2.8,7.1,0.393,1.1,1.6,0.6759999999999999,1.1,1.4,0.6,3.1,3.7,1.3,1.0,0.0,12.5,2021
540,Jarrod West,MU,21,34.1,4.6,10.1,0.458,2.0,4.9,0.408,1.2,1.9,0.667,2.1,1.7,0.6,2.9,3.5,6.0,2.5,0.0,12.5,2021
541,Franz Wagner,UM,28,31.8,4.4,9.3,0.477,1.2,3.6,0.343,2.4,2.8,0.835,1.3,2.2,0.7,5.8,6.5,3.0,1.2,1.0,12.5,2021
542,Garrett Covington,YSU,26,30.1,4.5,9.1,0.498,1.1,3.3,0.341,2.3,3.1,0.738,1.6,2.5,2.2,2.3,4.6,1.5,1.3,0.0,12.5,2021
543,Russell Harrison,ULM,24,31.0,4.2,12.7,0.331,1.8,5.8,0.3,2.3,2.9,0.7859999999999999,2.3,2.7,0.8,5.3,6.1,1.9,1.1,0.2,12.5,2021
544,Josh Thomas,UWM,22,30.0,5.2,10.1,0.516,0.5,2.0,0.267,1.5,2.3,0.627,1.2,1.3,0.8,3.2,4.0,1.7,1.0,0.4,12.5,2021
545,Lonnie Grayson,USMA,22,30.4,4.0,10.8,0.3670000000000001,2.4,7.3,0.329,2.1,2.5,0.8390000000000001,1.4,1.9,0.3,4.9,5.2,1.9,1.1,0.1,12.5,2021
546,David Collins,USF,22,30.2,4.3,10.3,0.42,0.9,2.3,0.373,3.0,5.3,0.556,3.2,2.8,0.4,3.1,3.5,3.4,1.3,0.3,12.5,2021
547,Gus Okafor,SELU,25,31.8,4.0,12.0,0.337,1.8,5.9,0.313,2.5,3.8,0.6629999999999999,2.6,1.9,2.2,4.3,6.5,1.0,1.2,0.2,12.4,2021
548,Antonio Reeves,ISU,25,29.9,4.4,10.4,0.425,1.3,4.3,0.306,2.3,3.0,0.763,1.8,1.4,0.8,2.5,3.3,1.4,0.4,0.2,12.4,2021
549,Fletcher Abee,CIT,23,32.3,4.0,9.7,0.413,2.6,6.9,0.371,1.9,2.3,0.7959999999999999,1.0,1.6,0.5,2.7,3.2,2.2,0.6,0.3,12.4,2021
550,Diante Wood,JAC,7,22.3,4.1,9.3,0.446,0.1,0.7,0.2,4.0,5.4,0.737,2.0,2.3,0.9,3.0,3.9,1.6,0.7,0.1,12.4,2021
551,Jeremiah Tilmon,MU,24,27.6,4.7,7.7,0.614,0.0,0.0,0.0,3.0,5.7,0.526,2.1,3.0,2.9,4.4,7.2,0.9,0.8,1.4,12.4,2021
552,Jailyn Ingram,FAU,22,24.0,4.7,10.7,0.441,1.9,4.2,0.452,1.0,1.4,0.742,1.5,1.6,1.3,4.7,6.0,1.7,0.9,0.4,12.4,2021
553,George Papas,MU,20,27.9,3.8,8.6,0.442,2.4,6.0,0.392,2.5,3.1,0.79,1.4,1.6,0.5,2.9,3.3,1.8,1.1,0.3,12.4,2021
554,Ben Roderick,OU,23,26.4,4.6,9.6,0.475,2.4,6.0,0.396,0.9,1.3,0.667,1.1,2.2,0.6,2.4,3.0,0.9,0.6,0.2,12.4,2021
555,Colin Castleton,UF,24,25.9,4.6,7.8,0.597,0.0,0.0,0.0,3.1,4.0,0.7809999999999999,1.9,2.2,2.5,3.9,6.4,1.1,0.5,2.2,12.4,2021
556,Chris Youngblood,KENN,24,32.4,4.4,11.0,0.396,2.1,6.3,0.331,1.5,1.8,0.841,1.7,2.2,0.4,2.9,3.2,1.8,0.8,0.5,12.4,2021
557,Nelly Cummings,CU,16,26.6,4.2,9.2,0.463,1.8,4.6,0.384,2.1,2.8,0.7559999999999999,1.1,1.9,0.6,2.2,2.8,1.4,0.7,0.1,12.4,2021
558,Kevin Anderson,UD,11,32.8,4.2,10.4,0.404,2.0,4.9,0.407,2.0,2.5,0.815,3.0,2.4,0.4,2.9,3.3,3.0,1.5,0.3,12.4,2021
559,Austin Phyfe,UNI,25,27.0,5.1,8.9,0.5770000000000001,0.3,1.0,0.32,1.8,3.1,0.584,2.5,2.6,2.2,5.2,7.3,2.5,0.3,0.7,12.4,2021
560,Will Martinez,WC,17,29.0,4.8,9.7,0.491,0.5,1.9,0.281,2.3,2.9,0.78,2.4,2.6,1.1,3.6,4.7,3.0,1.1,0.4,12.4,2021
561,Jacob Gilyard,RICH,23,37.6,4.1,10.0,0.41,2.1,6.2,0.336,2.1,2.5,0.8420000000000001,1.6,1.3,0.3,2.7,3.0,5.0,3.6,0.0,12.3,2021
562,Christopher Harris,SEMO,26,30.3,3.6,10.1,0.355,1.5,5.2,0.284,3.7,5.1,0.735,2.5,1.9,0.3,2.0,2.3,3.4,1.0,0.1,12.3,2021
563,"Jaime Jaquez, Jr.",UCLA,32,34.8,4.4,9.1,0.486,1.2,2.9,0.394,2.3,3.5,0.655,1.2,2.3,1.9,4.2,6.1,1.7,1.2,0.7,12.3,2021
564,Brandon Mahan,UCF,21,32.1,3.9,8.6,0.45,1.9,4.2,0.438,2.8,3.0,0.906,1.7,2.0,1.0,4.0,5.0,1.9,1.1,0.3,12.3,2021
565,Caleb Hunter,MVSU,24,34.9,4.4,13.0,0.34,2.2,6.9,0.319,1.3,2.5,0.525,3.4,2.1,1.0,2.6,3.6,3.4,1.0,0.2,12.3,2021
566,Jake LaRavia,ISU,25,29.2,4.2,8.9,0.473,0.4,1.3,0.312,3.5,4.5,0.779,2.1,2.9,2.3,4.0,6.3,2.3,1.5,0.8,12.3,2021
567,Derek St. Hilaire,UNO,25,27.0,4.4,10.3,0.424,2.3,5.7,0.401,1.3,1.6,0.805,2.4,2.2,0.7,1.8,2.5,2.6,1.0,0.0,12.3,2021
568,Armando Bacot,UNC,29,22.7,4.7,7.5,0.628,0.0,0.0,0.0,2.9,4.3,0.664,1.4,2.2,3.2,4.7,7.8,0.8,0.7,0.9,12.3,2021
569,L.J. Figueroa,UO,26,31.1,4.9,10.5,0.467,1.8,4.7,0.377,0.7,1.0,0.667,0.9,2.5,1.7,4.3,6.1,1.4,1.6,0.3,12.3,2021
570,Sigu Sisoho,WSU,23,31.8,4.5,9.0,0.502,1.5,3.7,0.405,1.8,2.3,0.7879999999999999,2.2,1.8,0.2,2.5,2.7,3.2,0.8,0.2,12.3,2021
571,Jalen Warren,FGC,17,26.2,4.6,9.9,0.47,1.2,3.8,0.32299999999999995,1.8,2.5,0.7140000000000001,2.3,2.4,0.4,1.5,1.9,2.4,0.7,0.3,12.3,2021
572,Chase Audige,NU,24,28.2,4.7,11.5,0.404,1.7,4.9,0.339,1.3,2.4,0.544,2.3,2.9,0.8,2.9,3.7,1.8,1.5,0.4,12.3,2021
573,T.J. Collins,MVSU,21,35.0,4.2,11.6,0.365,2.2,6.7,0.333,1.6,2.1,0.75,3.2,2.5,0.7,4.5,5.1,2.6,1.3,0.5,12.3,2021
574,Ben Krikke,VAL,28,28.2,5.0,9.6,0.519,0.3,1.1,0.267,2.0,2.5,0.797,1.2,2.3,1.4,2.8,4.2,1.0,0.6,0.8,12.2,2021
575,Justin Webster,UH,20,29.9,4.2,8.7,0.477,1.7,4.5,0.378,2.2,2.9,0.7759999999999999,1.1,1.4,0.2,3.4,3.5,1.1,0.9,0.0,12.2,2021
576,Chance Hunter,LBSU,16,30.9,4.7,11.2,0.417,1.7,4.9,0.342,1.2,2.2,0.5429999999999999,2.5,2.6,0.8,5.0,5.8,1.2,0.9,0.2,12.2,2021
577,Sean McNeil,WVU,29,29.4,4.1,10.0,0.409,2.4,6.1,0.388,1.7,1.9,0.889,0.9,1.2,0.3,1.9,2.2,0.8,0.5,0.0,12.2,2021
578,James Jean-Marie,UH,21,21.5,4.5,8.2,0.5429999999999999,0.6,1.4,0.448,2.7,3.5,0.767,1.8,1.8,1.7,3.2,5.0,0.3,0.3,0.3,12.2,2021
579,Jamorko Pickett,GU,26,34.7,4.0,10.5,0.385,1.6,4.2,0.373,2.6,3.1,0.8270000000000001,2.5,2.4,1.1,6.1,7.2,2.1,1.0,0.6,12.2,2021
580,Courtney Ramey,UT,26,33.5,4.0,10.3,0.383,1.8,4.5,0.414,2.5,3.0,0.831,2.5,2.2,0.7,2.5,3.2,3.9,1.0,0.1,12.2,2021
581,Tyrece Radford,VT,18,32.2,4.6,8.3,0.55,0.4,1.3,0.292,2.7,3.6,0.7659999999999999,1.0,1.6,1.9,4.0,5.9,2.1,0.6,0.4,12.2,2021
582,Deon Stroud,CSUF,23,23.3,4.6,9.6,0.482,0.9,2.4,0.35700000000000004,2.1,3.5,0.613,2.2,2.8,1.4,2.3,3.7,0.7,0.9,0.3,12.2,2021
583,C.J. Fleming,BU,19,30.3,4.0,8.3,0.481,2.4,5.4,0.447,1.8,2.1,0.872,0.5,1.6,0.3,1.9,2.2,1.8,0.9,0.2,12.2,2021
584,John Walker III,TSU,24,26.0,4.9,8.3,0.593,0.2,1.1,0.222,2.1,3.3,0.6459999999999999,1.7,2.2,2.2,3.3,5.5,1.2,0.7,1.1,12.2,2021
585,M.J. Walker,FSU,24,29.0,4.0,9.1,0.436,1.8,4.3,0.423,2.5,3.1,0.797,2.6,2.2,0.5,2.0,2.5,2.5,0.9,0.4,12.2,2021
586,Tavin Lovan,UAB,29,26.2,4.7,8.6,0.542,0.0,0.0,1.0,2.9,4.1,0.6970000000000001,1.8,2.0,1.2,2.8,4.0,2.3,1.2,0.1,12.2,2021
587,Leon Ayers III,MER,29,23.6,4.8,9.1,0.521,1.0,2.7,0.39,1.7,2.2,0.738,2.0,1.4,0.9,2.9,3.8,1.9,1.2,0.3,12.2,2021
588,Azuolas Tubelis,U of A,26,26.5,4.4,8.9,0.498,0.5,1.6,0.31,2.8,4.1,0.6920000000000001,2.3,2.5,2.6,4.5,7.1,1.2,0.6,0.6,12.2,2021
