Pk,Tm,Player1,College
14,OKC,Cameron Payne,Murray State
15,ATL,Kelly Oubre Jr.,Kansas
16,BOS,Terry Rozier,Louisville
17,MIL,Rashad Vaughn,UNLV
18,HOU,Sam Dekker,Wisconsin
19,WAS,Jerian Grant,Notre Dame
20,TOR,Delon Wright,Utah
21,DAL,Justin Anderson,Virginia
22,CHI,Bobby Portis,Arkansas
23,POR,Rondae Hollis-Jefferson,Arizona
24,CLE,Tyus Jones,Duke
25,MEM,Jarell Martin,LSU
27,LAL,Larry Nance Jr.,Wyoming
28,BOS,R.J. Hunter,Georgia State University
29,BRK,Chris McCullough,Syracuse
30,GSW,Kevon Looney,UCLA
32,HOU,Montrezl Harrell,Louisville
33,BOS,Jordan Mickey,LSU
34,LAL,Anthony Brown,Stanford
36,MIN,Rakeem Christmas,Syracuse
37,PHI,Richaun Holmes,Bowling Green
38,DET,Darrun Hilliard,Villanova
40,MIA,Josh Richardson,Tennessee
41,BRK,Pat Connaughton,Notre Dame
42,UTA,Olivier Hanlan,Boston College
43,IND,Joe Young,Oregon
44,PHO,Andrew Harrison,Kentucky
45,BOS,Marcus Thornton,William & Mary
46,MIL,Norman Powell,UCLA
48,OKC,Dakari Johnson,Kentucky
49,WAS,Aaron White,Iowa
51,ORL,Tyler Harvey,Eastern Washington
53,CLE,Sir'Dominic Pointer,St. John's
55,SAS,Cady Lalanne,UMass
56,NOP,Branden Dawson,Michigan State
58,PHI,J.P. Tokoto,UNC
1,PHI,Ben Simmons,LSU
2,LAL,Brandon Ingram,Duke
3,BOS,Jaylen Brown,California
5,MIN,Kris Dunn,Providence
6,NOP,Buddy Hield,Oklahoma
7,DEN,Jamal Murray,Kentucky
8,SAC,Marquese Chriss,Washington
9,TOR,Jakob Poeltl,Utah
11,ORL,Domantas Sabonis,Gonzaga
12,UTA,Taurean Prince,Baylor
14,CHI,Denzel Valentine,Michigan State
17,MEM,Wade Baldwin,Vanderbilt
18,DET,Henry Ellenson,Marquette
19,DEN,Malik Beasley,Florida State
20,IND,Caris LeVert,Michigan
21,ATL,DeAndre' Bembry,Saint Joseph's
22,CHO,Malachi Richardson,Syracuse
25,LAC,Brice Johnson,UNC
27,TOR,Pascal Siakam,New Mexico State
28,PHO,Skal Labissière,Kentucky
29,SAS,Dejounte Murray,Washington
30,GSW,Damian Jones,Vanderbilt
31,BOS,Deyonta Davis,Michigan State
33,LAC,Cheick Diallo,Kansas
34,PHO,Tyler Ulis,Kentucky
36,MIL,Malcolm Brogdon,Virginia
37,HOU,Chinanu Onuaku,Louisville
38,MIL,Patrick McCaw,UNLV
40,NOP,Diamond Stone,Maryland
41,ORL,Stephen Zimmerman,UNLV
42,UTA,Isaiah Whitehead,Seton Hall
45,BOS,Demetrius Jackson,Notre Dame
46,DAL,A.J. Hammons,Purdue
47,ORL,Jake Layman,Maryland
49,DET,Michael Gbinije,Syracuse
50,IND,Georges Niang,Iowa State
51,BOS,Ben Bentil,Providence
52,UTA,Joel Bolomboy,Weber State
54,ATL,Kay Felder,Oakland
55,BRK,Marcus Paige,UNC
56,DEN,Daniel Hamilton,UConn
58,BOS,Abdel Nader,Iowa State
59,SAC,Isaiah Cousins,Oklahoma
60,UTA,Tyrone Wallace,California
1,PHI,Markelle Fultz,Washington
2,LAL,Lonzo Ball,UCLA
3,BOS,Jayson Tatum,Duke
4,PHO,Josh Jackson,Kansas
5,SAC,De'Aaron Fox,Kentucky
6,ORL,Jonathan Isaac,Florida State
7,MIN,Lauri Markkanen,Arizona
9,DAL,Dennis Smith Jr.,NC State
10,SAC,Zach Collins,Gonzaga
11,CHO,Malik Monk,Kentucky
12,DET,Luke Kennard,Duke
13,DEN,Donovan Mitchell,Louisville
14,MIA,Bam Adebayo,Kentucky
15,POR,Justin Jackson,UNC
16,CHI,Justin Patton,Creighton
17,MIL,D.J. Wilson,Michigan
18,IND,T.J. Leaf,UCLA
19,ATL,John Collins,Wake Forest
20,POR,Harry Giles,Duke
22,BRK,Jarrett Allen,Texas
23,TOR,OG Anunoby,Indiana
24,UTA,Tyler Lydon,Syracuse
26,POR,Caleb Swanigan,Purdue
27,BRK,Kyle Kuzma,Utah
28,LAL,Tony Bradley,UNC
29,SAS,Derrick White,Colorado
30,UTA,Josh Hart,Villanova
31,CHO,Frank Jackson,Duke
32,PHO,Davon Reed,Miami (FL)
33,ORL,Wesley Iwundu,Kansas State
34,SAC,Frank Mason III,Kansas
35,ORL,Ivan Rabb,California
37,BOS,Semi Ojeleye,SMU
38,CHI,Jordan Bell,Oregon
39,PHI,Jawun Evans,Oklahoma State
40,NOP,Dwayne Bacon,Florida State
41,ATL,Tyler Dorsey,Oregon
42,UTA,Thomas Bryant,Indiana
44,NYK,Damyean Dotson,Oregon
45,HOU,Dillon Brooks,Oregon
46,PHI,Sterling Brown,SMU
47,IND,Ike Anigbogu,UCLA
48,MIL,Sindarius Thornwell,South Carolina
51,DEN,Monte Morris,Iowa State
52,NOP,Edmond Sumner,Xavier
53,BOS,Kadeem Allen,Arizona
54,PHO,Alec Peters,Valparaiso
55,UTA,Nigel Williams-Goss,Gonzaga
56,BOS,Jabari Bird,California
59,SAS,Jaron Blossomgame,Clemson
1,PHO,Deandre Ayton,Arizona
2,SAC,Marvin Bagley III,Duke
4,MEM,Jaren Jackson Jr.,Michigan State
5,DAL,Trae Young,Oklahoma
6,ORL,Mo Bamba,Texas
7,CHI,Wendell Carter Jr.,Duke
8,CLE,Collin Sexton,Alabama
9,NYK,Kevin Knox,Kentucky
10,PHI,Mikal Bridges,Villanova
11,CHO,Shai Gilgeous-Alexander,Kentucky
12,LAC,Miles Bridges,Michigan State
13,LAC,Jerome Robinson,Boston College
14,DEN,Michael Porter Jr.,Missouri
15,WAS,Troy Brown Jr.,Oregon
16,PHO,Zhaire Smith,Texas Tech
17,MIL,Donte DiVincenzo,Villanova
18,SAS,Lonnie Walker,Miami (FL)
19,ATL,Kevin Huerter,Maryland
20,MIN,Josh Okogie,Georgia Tech
21,UTA,Grayson Allen,Duke
22,CHI,Chandler Hutchison,Boise State
23,IND,Aaron Holiday,UCLA
25,LAL,Moritz Wagner,Michigan
26,PHI,Landry Shamet,Wichita State
27,BOS,Robert Williams,Texas A&M
28,GSW,Jacob Evans,Cincinnati
30,ATL,Omari Spellman,Villanova
32,MEM,Jevon Carter,West Virginia
33,DAL,Jalen Brunson,Villanova
34,ATL,Devonte' Graham,Kansas
35,ORL,Melvin Frazier,Tulane
37,SAC,Gary Trent Jr.,Duke
38,PHI,Khyri Thomas,Creighton
41,ORL,Jarred Vanderbilt,Kentucky
42,DET,Bruce Brown,Miami (FL)
43,DEN,Justin Jackson,Maryland
45,BRK,Hamidou Diallo,Kentucky
46,HOU,De'Anthony Melton,USC
47,LAL,Sviatoslav Mykhailiuk,Kansas
48,MIN,Keita Bates-Diop,Ohio State
49,SAS,Chimezie Metu,USC
50,IND,Alize Johnson,Missouri State
51,NOP,Tony Carr,Penn State
52,UTA,Vince Edwards,Purdue
53,OKC,Devon Hall,Virginia
54,DAL,Shake Milton,SMU
56,PHI,Ray Spalding,Louisville
57,OKC,Kevin Hervey,UT Arlington
58,DEN,Thomas Welsh,UCLA
59,PHO,George King,Colorado
60,PHI,Kostas Antetokounmpo,Dayton
1,NOP,Zion Williamson,Duke
2,MEM,Ja Morant,Murray State
3,NYK,RJ Barrett,Duke
4,LAL,De'Andre Hunter,Virginia
5,CLE,Darius Garland,Vanderbilt
6,PHO,Jarrett Culver,Texas Tech
7,CHI,Coby White,UNC
8,ATL,Jaxson Hayes,Texas
9,WAS,Rui Hachimura,Gonzaga
