Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Siler Schneider,UCD,33,30.2,5.3,12,0.443,1.1,3.4,0.319,2.1,2.9,0.722,2.5,2.6,0.5,2.6,3.1,2.1,1.1,0.2,13.9
Derrick Bruce,TSU,32,33,4.5,11.3,0.394,2.6,6.7,0.394,2.3,2.8,0.822,2.2,2.2,0.6,3.2,3.8,2,1.2,0.2,13.9
Lavone Holland II,NKU,32,30.2,4.6,11.1,0.413,1.8,5.1,0.348,2.9,3.4,0.836,2.6,2.3,0.5,3.6,4.2,4.4,1.1,0.2,13.8
Nat Dixon,UTC,31,36.5,4.5,10.3,0.438,2.1,5.4,0.395,2.7,3.6,0.735,2,1.7,1.2,3.4,4.6,1.9,1,0.3,13.8
J.C. Show,BU,31,32.4,4.7,12.6,0.374,2.5,7.3,0.336,2,2.3,0.871,1.8,2.1,0.7,3,3.7,1.9,1.3,0.1,13.8
Justin Massey,FAU,31,25.5,4.2,11.7,0.359,2.4,7.2,0.335,3,3.9,0.783,1.1,1.8,0.5,1.7,2.2,1.5,0.5,0,13.8
Mathieu Kamba,UCA,35,30.3,4.9,9.4,0.518,0.8,2.3,0.358,3.2,4.9,0.657,2.3,2.3,2,4.1,6.1,2.3,1.1,1,13.8
Ivan Gandia-Rosa,UNF,33,32.7,4.5,10.8,0.417,2.3,6.2,0.369,2.5,2.8,0.891,3.1,1.1,0.4,2.3,2.7,6.2,0.5,0,13.8
Justice Sueing,Cal,32,32,4.9,11.3,0.434,1.3,4.2,0.311,2.7,4,0.672,2.1,2.3,1.5,3.9,5.4,1.4,1.5,0.5,13.8
D.J. Laster,GWU,32,26.4,5.9,11.6,0.505,0.7,2.1,0.318,1.4,2.3,0.608,1.9,2.5,2,3.4,5.4,0.4,0.6,0.4,13.8
