pk,tm,player1,college,conf
34,ATL,Devonte' Graham,Kansas,B12
13,NOK,Julian Wright,Kansas,B12
6,NOP,Buddy Hield,Oklahoma,B12
5,SAC,Thomas Robinson,Kansas,B12
32,MEM,Jevon Carter,West Virginia,B12
15,ATL,Kelly Oubre Jr.,Kansas,B12
13,PHO,Markieff Morris,Kansas,B12
14,HOU,Marcus Morris,Kansas,B12
4,CLE,Tristan Thompson,Texas,B12
26,DAL,Jordan Hamilton,Texas,B12
5,DAL,Trae Young,Oklahoma,B12
29,SAS,Cory Joseph,Texas,B12
54,LAC,Willie Warren,Oklahoma,B12
6,ORL,Mo Bamba,Texas,B12
46,ORL,Talen Horton-Tucker,Iowa State,B12
4,PHO,Josh Jackson,Kansas,B12
47,MIL,Tiny Gallon,Oklahoma,B12
49,MEM,Josh Selby,Kansas,B12
43,LAL,Devin Ebanks,West Virginia,B12
13,POR,Brandon Rush,Kansas,B12
27,NOH,Darrell Arthur,Kansas,B12
59,SAC,Isaiah Cousins,Oklahoma,B12
42,MIA,Da'Sean Butler,West Virginia,B12
15,PHI,Maurice Harkless,St. John's,BE
25,BOS,MarShon Brooks,Providence,BE
12,HOU,Jeremy Lamb,UConn,BE
55,UTA,Herbert Hill,Providence,BE
5,BOS,Jeff Green,Georgetown,BE
43,MIL,Ricky Ledo,Providence,BE
2,MEM,Hasheem Thabeet,UConn,BE
33,DAL,Jalen Brunson,Villanova,BE
33,POR,Dante Cunningham,Villanova,BE
42,UTA,Isaiah Whitehead,Seton Hall,BE
18,DET,Henry Ellenson,Marquette,BE
35,DET,DaJuan Summers,Georgetown,BE
40,CHA,Derrick Brown,Xavier,BE
19,BRK,Saddiq Bey,Villanova,BE
34,WAS,Shelvin Mack,Butler,BE
5,MIN,Kris Dunn,Providence,BE
52,IND,A.J. Price,UConn,BE
17,TOR,Roy Hibbert,Georgetown,BE
9,CHA,Kemba Walker,UConn,BE
51,BOS,Ben Bentil,Providence,BE
38,DET,Darrun Hilliard,Villanova,BE
3,WAS,Otto Porter,Georgetown,BE
55,DAL,Darius Johnson-Odom,Marquette,BE
7,DET,Greg Monroe,Georgetown,BE
9,UTA,Gordon Hayward,Butler,BE
16,CHI,Justin Patton,Creighton,BE
57,DET,Sammy Mejia,DePaul,BE
11,DEN,Doug McDermott,Creighton,BE
55,MIA,Semaj Christon,Xavier,BE
30,UTA,Josh Hart,Villanova,BE
53,CLE,Sir'Dominic Pointer,St. John's,BE
34,CLE,Jae Crowder,Marquette,BE
30,ATL,Omari Spellman,Villanova,BE
59,ORL,Stanley Robinson,UConn,BE
17,MIL,Donte DiVincenzo,Villanova,BE
58,PHI,Paul Reed,DePaul,BE
43,SAC,Patrick Ewing,Georgetown,BE
