#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
363,Khalid Mutakabbir,PC,31,38.9,4.8,10.2,0.46799999999999997,1.6,3.2,0.5,2.4,3.0,0.7929999999999999,2.9,2.3,0.8,2.4,3.2,2.3,1.0,0.2,13.5
364,Mustapha Farrakhan,UVA,31,30.9,4.3,10.1,0.42,1.6,4.4,0.368,3.4,4.3,0.782,2.2,1.6,0.3,2.5,2.8,1.8,0.7,0.3,13.5
365,Stephen Lumpkins,AU,31,30.0,5.2,8.8,0.5920000000000001,0.0,0.0,0.0,3.1,4.9,0.621,1.3,2.8,2.6,5.7,8.3,0.5,0.5,1.3,13.5
366,Trent Lockett,ASU,29,30.7,5.0,9.8,0.516,0.3,1.1,0.32299999999999995,3.0,4.6,0.662,2.4,2.4,1.5,3.8,5.3,2.5,0.7,0.5,13.4
367,Matt Dellavedova,SMC,34,35.3,4.2,10.0,0.418,2.0,5.3,0.376,3.1,3.5,0.8809999999999999,2.4,2.1,1.1,2.5,3.6,5.3,1.2,0.0,13.4
368,Aaron Mitchell,LONG,30,32.5,4.9,9.9,0.49,0.4,1.2,0.297,3.3,4.7,0.7070000000000001,3.0,2.7,2.5,3.2,5.8,3.8,1.0,0.3,13.4
369,Jeromie Hill,UTSA,34,30.5,5.2,11.0,0.475,1.2,3.1,0.4,1.7,2.7,0.634,2.6,2.4,2.0,4.6,6.6,1.0,0.8,0.5,13.4
370,Augustus Gilchrist,USF,30,28.4,4.8,10.7,0.449,0.2,0.9,0.25,3.5,5.0,0.7020000000000001,2.5,2.7,2.2,4.0,6.2,0.8,0.5,0.7,13.4
371,Casey Walker,DESU,30,32.6,4.6,11.4,0.401,2.4,7.0,0.348,1.8,2.2,0.831,1.5,2.5,0.8,2.4,3.2,0.8,0.8,0.6,13.4
372,Greer Wright,BU,25,30.6,4.2,10.4,0.406,1.4,4.1,0.33,3.5,4.9,0.715,3.9,2.9,0.9,3.4,4.2,3.5,1.1,0.3,13.4
373,Allen Crabbe,Cal,31,33.8,4.5,10.1,0.446,2.0,5.0,0.4,2.4,3.0,0.804,1.4,1.6,0.6,4.7,5.3,2.0,0.9,0.5,13.4
374,Jeff Allen,VT,34,32.3,5.2,10.4,0.501,0.1,1.0,0.147,2.7,4.1,0.66,2.9,3.4,2.7,7.0,9.7,1.8,1.3,0.7,13.4
375,DeVaughn Washington,OU,34,29.5,4.9,9.4,0.522,0.0,0.0,1.0,3.5,5.5,0.633,1.8,3.0,1.7,3.9,5.6,0.9,1.1,0.4,13.4
