Pk,Tm,Player,College,Year
56,PHI,Ray Spalding,Louisville,2018
57,OKC,Kevin Hervey,UT Arlington,2018
58,DEN,Thomas Welsh,UCLA,2018
59,PHO,George King,Colorado,2018
60,PHI,Kostas Antetokounmpo,Dayton,2018
1,NOP,Zion Williamson,Duke,2019
2,MEM,Ja Morant,Murray State,2019
3,NYK,RJ Barrett,Duke,2019
4,LAL,De'Andre Hunter,Virginia,2019
5,CLE,Darius Garland,Vanderbilt,2019
6,PHO,Jarrett Culver,Texas Tech,2019
7,CHI,Coby White,UNC,2019
8,ATL,Jaxson Hayes,Texas,2019
9,WAS,Rui Hachimura,Gonzaga,2019
10,ATL,Cam Reddish,Duke,2019
11,MIN,Cameron Johnson,UNC,2019
12,CHO,P.J. Washington,Kentucky,2019
13,MIA,Tyler Herro,Kentucky,2019
14,BOS,Romeo Langford,Indiana,2019
16,ORL,Chuma Okeke,Auburn,2019
17,BRK,Nickeil Alexander-Walker,Virginia Tech,2019
20,BOS,Matisse Thybulle,Washington,2019
21,OKC,Brandon Clarke,Gonzaga,2019
22,BOS,Grant Williams,Tennessee,2019
24,PHI,Ty Jerome,Virginia,2019
25,POR,Nassir Little,UNC,2019
26,CLE,Dylan Windler,Belmont,2019
27,BRK,Mfiondu Kabengele,Florida State,2019
28,GSW,Jordan Poole,Michigan,2019
29,SAS,Keldon Johnson,Kentucky,2019
30,MIL,Kevin Porter Jr.,USC,2019
31,BRK,Nicolas Claxton,Georgia,2019
32,PHO,KZ Okpala,Stanford,2019
33,PHI,Carsen Edwards,Purdue,2019
34,PHI,Bruno Fernando,Maryland,2019
36,CHO,Cody Martin,Nevada,2019
38,CHI,Daniel Gafford,Arkansas,2019
40,SAC,Justin James,Wyoming,2019
